platform,username,profile_url,normalized_username,exclusion_reason,exclusion_reasons,query_ids,provider,account_type,account_type_evidence,account_type_explanation,manual_review_action,manual_review_reason,negative_topics,relevant_dimensions,theme_relevant
instagram,jai_mata_rani_reels,https://www.instagram.com/jai_mata_rani_reels/,jai_mata_rani_reels,ineligible,"[""account_type_not_personal:thematic_non_personal_page""]","[""reels_integrations_01""]",apify,thematic_non_personal_page,"[{""evidence_text"":""Observed politics_history_religion topic phrase: ganesh"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3951306819043278378"",""url"":""https://www.instagram.com/p/DbV3J3zpz4q/""},{""evidence_text"":""Observed politics_history_religion topic phrase: mahadev"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3951169550032851292"",""url"":""https://www.instagram.com/p/DbVX8WFDFFc/""},{""evidence_text"":""Observed politics_history_religion topic phrase: jaishreeram"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3950491601669126532"",""url"":""https://www.instagram.com/p/DbS9y5dpvmE/""},{""evidence_text"":""Observed politics_history_religion topic phrase: jaishreeram"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3950489298315621691"",""url"":""https://www.instagram.com/p/DbS9RYTFbU7/""}]","The sampled account is a dominant thematic/media page, not a suitable personal creator.",,,"[""politics_history_religion""]",[],False
instagram,lover_reels_4k,https://www.instagram.com/lover_reels_4k/,lover_reels_4k,ineligible,"[""account_type_not_personal:thematic_non_personal_page""]","[""reels_integrations_01""]",apify,thematic_non_personal_page,"[{""evidence_text"":""Observed media_or_clips topic phrase: lyrics song"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/lover_reels_4k/""}]","The sampled account is a dominant thematic/media page, not a suitable personal creator.",,,"[""media_or_clips""]",[],False
instagram,creator.no.one,https://www.instagram.com/creator.no.one/,creator.no.one,ineligible,"[""account_type_not_personal:thematic_non_personal_page""]","[""ugc_creator_01""]",apify,thematic_non_personal_page,"[{""evidence_text"":""Observed media_or_clips topic phrase: режиссер"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creator.no.one/""},{""evidence_text"":""Observed media_or_clips topic phrase: сценарист"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creator.no.one/""},{""evidence_text"":""Observed media_or_clips topic phrase: тв-програм"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creator.no.one/""},{""evidence_text"":""Observed media_or_clips topic phrase: новые медиа"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creator.no.one/""},{""evidence_text"":""Observed media_or_clips topic phrase: сценарист"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""full_name"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creator.no.one/""},{""evidence_text"":""Observed media_or_clips topic phrase: режиссер"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3308373302177204604"",""url"":""https://www.instagram.com/p/C3ps_1kqIl8/""},{""evidence_text"":""Observed media_or_clips topic phrase: режиссер"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3308408126166528372"",""url"":""https://www.instagram.com/p/C3p06l8K_F0/""},{""evidence_text"":""Observed media_or_clips topic phrase: сценарист"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3308408126166528372"",""url"":""https://www.instagram.com/p/C3p06l8K_F0/""},{""evidence_text"":""Observed direct fashion evidence: образ"",""observation_type"":""direct"",""signal_type"":""fashion"",""source_field"":""recent_posts.caption"",""source_reference"":""3348647881573184126"",""url"":""https://www.instagram.com/p/C54yYGjCLJ-/""},{""evidence_text"":""Observed direct fashion evidence: образ"",""observation_type"":""direct"",""signal_type"":""fashion"",""source_field"":""recent_posts.caption"",""source_reference"":""3308408126166528372"",""url"":""https://www.instagram.com/p/C3p06l8K_F0/""},{""evidence_text"":""Observed direct fashion evidence: плать"",""observation_type"":""direct"",""signal_type"":""fashion"",""source_field"":""recent_posts.caption"",""source_reference"":""3913104050886131045"",""url"":""https://www.instagram.com/p/DZOI2baNb1l/""}]","The sampled account is a dominant thematic/media page, not a suitable personal creator.",,,"[""media_or_clips""]","[""fashion""]",False
instagram,cleide_lifestyle,https://www.instagram.com/cleide_lifestyle/,cleide_lifestyle,ineligible,"[""target_theme_not_relevant""]","[""beauty_lifestyle_01""]",apify,personal_creator,"[{""evidence_text"":""Observed person-like profile name: Cleide Lifestyle"",""observation_type"":""derived"",""signal_type"":""account_type_personal"",""source_field"":""full_name"",""source_reference"":""profile"",""url"":""https://www.instagram.com/cleide_lifestyle/""},{""evidence_text"":""Observed food_or_gardening topic phrase: horta"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/cleide_lifestyle/""},{""evidence_text"":""Observed food_or_gardening topic phrase: comida"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/cleide_lifestyle/""},{""evidence_text"":""Observed food_or_gardening topic phrase: chocolate"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3520236843083748112"",""url"":""https://www.instagram.com/p/DDaZMH9P9MQ/""},{""evidence_text"":""Observed food_or_gardening topic phrase: frutas"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3625177380605600286"",""url"":""https://www.instagram.com/p/DJPN57ixyIe/""},{""evidence_text"":""Observed food_or_gardening topic phrase: receita"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3948575583222843920"",""url"":""https://www.instagram.com/p/DbMKJKOx0oQ/""},{""evidence_text"":""Observed food_or_gardening topic phrase: chocolate"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3948575583222843920"",""url"":""https://www.instagram.com/p/DbMKJKOx0oQ/""},{""evidence_text"":""Observed food_or_gardening topic phrase: receita"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3941327224938330460"",""url"":""https://www.instagram.com/p/DayaDqiBnlc/""},{""evidence_text"":""Observed food_or_gardening topic phrase: chocolate"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""recent_posts.caption"",""source_reference"":""3941327224938330460"",""url"":""https://www.instagram.com/p/DayaDqiBnlc/""}]","The profile contains auditable personal-author evidence. Direct recent/bio evidence for fashion, beauty, or compatible personal lifestyle is absent or outweighed by an irrelevant theme.",,,"[""food_or_gardening""]",[],False
instagram,creatorbrand.hub,https://www.instagram.com/creatorbrand.hub/,creatorbrand.hub,ineligible,"[""account_type_not_personal:agency_or_platform"",""manual_exclusion:Manual verification identified a B2B creator platform connecting brands and creators, not an independent personal creator.""]","[""ugc_creator_01""]",apify,agency_or_platform,"[{""evidence_text"":""Observed agency/platform phrase: creator platform"",""observation_type"":""direct"",""signal_type"":""account_type_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creatorbrand.hub/""},{""evidence_text"":""Observed agency/platform phrase: connecting brands"",""observation_type"":""direct"",""signal_type"":""account_type_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creatorbrand.hub/""},{""evidence_text"":""Observed b2b_education topic phrase: creator platform"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creatorbrand.hub/""},{""evidence_text"":""Observed b2b_education topic phrase: connecting brands"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creatorbrand.hub/""},{""evidence_text"":""Manual verification identified a B2B creator platform connecting brands and creators, not an independent personal creator."",""observation_type"":""direct"",""signal_type"":""manual_review"",""source_field"":""manual_review"",""source_reference"":""creatorbrand.hub"",""url"":""https://www.instagram.com/creatorbrand.hub/""}]","Manual review override: Manual verification identified a B2B creator platform connecting brands and creators, not an independent personal creator.",exclude,"Manual verification identified a B2B creator platform connecting brands and creators, not an independent personal creator.","[""b2b_education""]",[],False
instagram,creatortadeaas,https://www.instagram.com/creatortadeaas/,creatortadeaas,insufficient_data,"[""account_type_not_personal:agency_or_platform"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""recent_evidence_url_missing""]","[""ugc_creator_01""]",apify,agency_or_platform,"[{""evidence_text"":""Observed agency/platform phrase: help creators grow"",""observation_type"":""direct"",""signal_type"":""account_type_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creatortadeaas/""},{""evidence_text"":""Observed b2b_education topic phrase: help creators grow"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/creatortadeaas/""}]","The profile describes an agency, B2B service, or creator platform.",,,"[""b2b_education""]",[],False
instagram,_imane.lifestyle,https://www.instagram.com/_imane.lifestyle/,_imane.lifestyle,ineligible,"[""target_theme_not_relevant""]","[""beauty_lifestyle_01""]",apify,personal_creator,"[{""evidence_text"":""Observed person-like profile name: 🇩🇿 ÌMANE ZRL🇩🇿"",""observation_type"":""derived"",""signal_type"":""account_type_personal"",""source_field"":""full_name"",""source_reference"":""profile"",""url"":""https://www.instagram.com/_imane.lifestyle/""}]","The profile contains auditable personal-author evidence. Direct recent/bio evidence for fashion, beauty, or compatible personal lifestyle is absent or outweighed by an irrelevant theme.",,,[],[],False
instagram,discount_wildberries111,https://www.instagram.com/discount_wildberries111/,discount_wildberries111,ineligible,"[""target_theme_not_relevant""]","[""marketplace_reviews_01""]",apify,personal_creator,"[{""evidence_text"":""Observed person-like profile name: Теплые истории||Татьяна"",""observation_type"":""derived"",""signal_type"":""account_type_personal"",""source_field"":""full_name"",""source_reference"":""profile"",""url"":""https://www.instagram.com/discount_wildberries111/""}]","The profile contains auditable personal-author evidence. Direct recent/bio evidence for fashion, beauty, or compatible personal lifestyle is absent or outweighed by an irrelevant theme.",,,[],[],False
instagram,bespridannik_reels,https://www.instagram.com/bespridannik_reels/,bespridannik_reels,insufficient_data,"[""profile_not_accessible"",""target_theme_not_relevant"",""followers_missing_or_non_positive"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""recent_evidence_url_missing""]","[""reels_integrations_01""]",apify,personal_creator,"[{""evidence_text"":""Observed person-like profile name: Dmitrii Koshelev"",""observation_type"":""derived"",""signal_type"":""account_type_personal"",""source_field"":""full_name"",""source_reference"":""profile"",""url"":""https://www.instagram.com/bespridannik_reels/""}]","The profile contains auditable personal-author evidence. Direct recent/bio evidence for fashion, beauty, or compatible personal lifestyle is absent or outweighed by an irrelevant theme.",,,[],[],False
instagram,trevors_history_reels,https://www.instagram.com/trevors_history_reels/,trevors_history_reels,ineligible,"[""account_type_not_personal:thematic_non_personal_page""]","[""reels_integrations_01""]",apify,thematic_non_personal_page,"[{""evidence_text"":""Observed politics_history_religion topic phrase: history teacher"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/trevors_history_reels/""},{""evidence_text"":""Observed politics_history_religion topic phrase: daily history"",""observation_type"":""direct"",""signal_type"":""target_theme_negative"",""source_field"":""biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/trevors_history_reels/""}]","The sampled account is a dominant thematic/media page, not a suitable personal creator.",,,"[""politics_history_religion""]",[],False
