platform,username,profile_url,normalized_username,exclusion_reason,exclusion_reasons,query_ids,provider
instagram,creatortadeaas,https://www.instagram.com/creatortadeaas/,creatortadeaas,insufficient_data,"[""insufficient_engagement_data:0<6"",""last_post_date_missing"",""target_content_evidence_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""ugc_creator_01""]",apify
instagram,bespridannik_reels,https://www.instagram.com/bespridannik_reels/,bespridannik_reels,insufficient_data,"[""profile_not_accessible"",""followers_missing_or_non_positive"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""target_content_evidence_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""reels_integrations_01""]",apify
instagram,wildberries_walberes,https://www.instagram.com/wildberries_walberes/,wildberries_walberes,ineligible,"[""latest_post_older_than_90_days"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""marketplace_reviews_01""]",apify
instagram,creator_os__,https://www.instagram.com/creator_os__/,creator_os__,ineligible,"[""latest_post_older_than_90_days"",""recent_evidence_url_missing""]","[""ugc_creator_01""]",apify
instagram,nurkyz_wildberries,https://www.instagram.com/nurkyz_wildberries/,nurkyz_wildberries,ineligible,"[""offer_grounding_evidence_missing"",""No recent post has both a working Instagram URL and a caption.""]","[""marketplace_reviews_01""]",apify
instagram,marwadi._.reels_29,https://www.instagram.com/marwadi._.reels_29/,marwadi._.reels_29,ineligible,"[""post_format_data_missing""]","[""reels_integrations_01""]",apify
instagram,wildberries.cargo_talgar,https://www.instagram.com/wildberries.cargo_talgar/,wildberries.cargo_talgar,insufficient_data,"[""followers_missing_or_non_positive"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""target_content_evidence_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""marketplace_reviews_01""]",apify
instagram,ai_beauty_agency,https://www.instagram.com/ai_beauty_agency/,ai_beauty_agency,insufficient_data,"[""profile_not_accessible"",""followers_missing_or_non_positive"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""beauty_lifestyle_01""]",apify
instagram,reels_star_pranjal,https://www.instagram.com/reels_star_pranjal/,reels_star_pranjal,insufficient_data,"[""profile_not_accessible"",""followers_missing_or_non_positive"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""target_content_evidence_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""reels_integrations_01""]",apify
instagram,wildberries_ozon_nakhodki,https://www.instagram.com/wildberries_ozon_nakhodki/,wildberries_ozon_nakhodki,insufficient_data,"[""profile_not_public"",""profile_not_accessible"",""followers_missing_or_non_positive"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""target_content_evidence_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]",[],apify
