platform,username,profile_url,normalized_username,exclusion_reason,exclusion_reasons,query_ids,provider,commercial_conflict_account,exclusion_registry_match,manual_review_action,manual_review_evidence,manual_review_reason
instagram,discount_wildberries111,https://www.instagram.com/discount_wildberries111,discount_wildberries111,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/discount_wildberries111/"",""normalized_username"":""discount_wildberries111"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""discount_wildberries111"",""https://www.instagram.com/discount_wildberries111/""]}",,,
instagram,wildberries_walberes,https://www.instagram.com/wildberries_walberes,wildberries_walberes,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/wildberries_walberes/"",""normalized_username"":""wildberries_walberes"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/wildberries_walberes/"",""wildberries_walberes""]}",,,
instagram,reels.cristianos,https://www.instagram.com/reels.cristianos,reels.cristianos,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_reels_native_05\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/reels.cristianos/"",""normalized_username"":""reels.cristianos"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/reels.cristianos/"",""reels.cristianos""]}",,,
instagram,wildberriesru,https://www.instagram.com/wildberriesru,wildberriesru,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/wildberriesru/"",""normalized_username"":""wildberriesru"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/wildberriesru/"",""wildberriesru""]}",,,
instagram,by.wildberries,https://www.instagram.com/by.wildberries,by.wildberries,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/by.wildberries/"",""normalized_username"":""by.wildberries"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""by.wildberries"",""https://www.instagram.com/by.wildberries/""]}",,,
instagram,trevors_history_reels,https://www.instagram.com/trevors_history_reels,trevors_history_reels,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_reels_native_05\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/trevors_history_reels/"",""normalized_username"":""trevors_history_reels"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/trevors_history_reels/"",""trevors_history_reels""]}",,,
instagram,kz.wildberries,https://www.instagram.com/kz.wildberries,kz.wildberries,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/kz.wildberries/"",""normalized_username"":""kz.wildberries"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/kz.wildberries/"",""kz.wildberries""]}",,,
instagram,wildberries.cargo_talgar,https://www.instagram.com/wildberries.cargo_talgar,wildberries.cargo_talgar,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/wildberries.cargo_talgar/"",""normalized_username"":""wildberries.cargo_talgar"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/wildberries.cargo_talgar/"",""wildberries.cargo_talgar""]}",,,
instagram,family.guy.reels,https://www.instagram.com/family.guy.reels,family.guy.reels,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_reels_native_05\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/family.guy.reels/"",""normalized_username"":""family.guy.reels"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""family.guy.reels"",""https://www.instagram.com/family.guy.reels/""]}",,,
instagram,reels_star_pranjal,https://www.instagram.com/reels_star_pranjal,reels_star_pranjal,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_reels_native_05\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/reels_star_pranjal/"",""normalized_username"":""reels_star_pranjal"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/reels_star_pranjal/"",""reels_star_pranjal""]}",,,
instagram,uz_wildberries,https://www.instagram.com/uz_wildberries,uz_wildberries,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/uz_wildberries/"",""normalized_username"":""uz_wildberries"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""https://www.instagram.com/uz_wildberries/"",""uz_wildberries""]}",,,
instagram,ashokgehlot.reels,https://www.instagram.com/ashokgehlot.reels,ashokgehlot.reels,previous_live_run_exclusion,"""[\""previous_live_run_exclusion\""]""","""[\""ru_reels_native_05\""]""",apify,,"{""canonical_profile_url"":""https://www.instagram.com/ashokgehlot.reels/"",""normalized_username"":""ashokgehlot.reels"",""reasons"":[""previous_live_run_exclusion""],""source_values"":[""ashokgehlot.reels"",""https://www.instagram.com/ashokgehlot.reels/""]}",,,
instagram,aya_emara_fashion_designer,https://www.instagram.com/aya_emara_fashion_designer/,aya_emara_fashion_designer,ineligible,"""[\""target_theme_not_relevant\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,fashion_assistant,https://www.instagram.com/fashion_assistant/,fashion_assistant,ineligible,"""[\""post_format_data_missing\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,naeem.s.reels,https://www.instagram.com/naeem.s.reels/,naeem.s.reels,ineligible,"""[\""account_type_not_personal:unclear\""]""","""[\""ru_reels_native_05\""]""",apify,,,,,
instagram,mallorca.reels,https://www.instagram.com/mallorca.reels/,mallorca.reels,ineligible,"""[\""target_theme_not_relevant\""]""","""[\""ru_reels_native_05\""]""",apify,,,,,
instagram,niyati_fashionai,https://www.instagram.com/niyati_fashionai/,niyati_fashionai,ineligible,"""[\""account_type_not_personal:thematic_non_personal_page\"",\""post_format_data_missing\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,malina_fashion,https://www.instagram.com/malina_fashion/,malina_fashion,needs_review,"""[\""high_audience_barter_review_required\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,micki_fashion._,https://www.instagram.com/micki_fashion._/,micki_fashion._,ineligible,"""[\""target_theme_not_relevant\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,fashion.jump.store,https://www.instagram.com/fashion.jump.store/,fashion.jump.store,ineligible,"""[\""target_theme_not_relevant\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,nora_reels._,https://www.instagram.com/nora_reels._/,nora_reels._,ineligible,"""[\""account_type_not_personal:unclear\""]""","""[\""ru_reels_native_05\""]""",apify,,,,,
instagram,ainazik.wildberries,https://www.instagram.com/ainazik.wildberries/,ainazik.wildberries,ineligible,"""[\""account_type_not_personal:unclear\"",\""latest_post_older_than_90_days\"",\""recent_evidence_url_missing\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,,,,
instagram,fashion__nouf,https://www.instagram.com/fashion__nouf/,fashion__nouf,ineligible,"""[\""account_type_not_personal:unclear\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,_wild.berries__,https://www.instagram.com/_wild.berries__/,_wild.berries__,insufficient_data,"""[\""profile_not_public\"",\""profile_not_accessible\"",\""account_type_not_personal:unclear\"",\""followers_missing_or_non_positive\"",\""insufficient_engagement_data:0<6\"",\""last_post_date_missing\"",\""post_format_data_missing\"",\""recent_evidence_url_missing\""]""","""[]""",apify,,,,,
instagram,jeba_jeru_fashion,https://www.instagram.com/jeba_jeru_fashion/,jeba_jeru_fashion,ineligible,"""[\""account_type_not_personal:thematic_non_personal_page\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,fashion.menoutfit,https://www.instagram.com/fashion.menoutfit/,fashion.menoutfit,ineligible,"""[\""post_format_data_missing\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,football_reelsdz,https://www.instagram.com/football_reelsdz/,football_reelsdz,insufficient_data,"""[\""profile_not_public\"",\""profile_not_accessible\"",\""account_type_not_personal:unclear\"",\""followers_missing_or_non_positive\"",\""insufficient_engagement_data:0<6\"",\""last_post_date_missing\"",\""post_format_data_missing\"",\""recent_evidence_url_missing\""]""","""[]""",apify,,,,,
instagram,reels.malang,https://www.instagram.com/reels.malang/,reels.malang,insufficient_data,"""[\""profile_not_accessible\"",\""target_theme_not_relevant\"",\""insufficient_engagement_data:0<6\"",\""last_post_date_missing\"",\""post_format_data_missing\"",\""recent_evidence_url_missing\""]""","""[\""ru_reels_native_05\""]""",apify,,,,,
instagram,stylist_katy,https://www.instagram.com/stylist_katy/,stylist_katy,insufficient_data,"""[\""profile_not_accessible\"",\""insufficient_engagement_data:0<6\"",\""last_post_date_missing\"",\""post_format_data_missing\"",\""recent_evidence_url_missing\""]""","""[\""ru_stylist_moscow_06\""]""",apify,,,,,
instagram,molya_wildberries,https://www.instagram.com/molya_wildberries/,molya_wildberries,insufficient_data,"""[\""profile_not_accessible\"",\""account_type_not_personal:unclear\"",\""insufficient_engagement_data:0<6\"",\""last_post_date_missing\"",\""post_format_data_missing\"",\""recent_evidence_url_missing\""]""","""[\""ru_marketplace_reviews_04\""]""",apify,,,,,
instagram,curvy_josies_fashion,https://www.instagram.com/curvy_josies_fashion/,curvy_josies_fashion,ineligible,"""[\""campaign_language_mismatch\""]""","""[\""ru_fashion_tryon_02\""]""",apify,,,,,
instagram,theonlyone_brand,https://www.instagram.com/theonlyone_brand/,theonlyone_brand,ineligible,"""[\""account_type_not_personal:store\""]""","""[\""ru_stylist_moscow_06\""]""",apify,,,,,
instagram,ayuma.style,https://www.instagram.com/ayuma.style/,ayuma.style,commercial_conflict_own_fashion_brand,"[""commercial_conflict_own_fashion_brand""]","[""ru_stylist_moscow_06""]",apify,@dorogaya.brand,,reject,"[{""evidence_text"":""дизайнер и создатель @dorogaya.brand"",""observation_type"":""direct"",""signal_type"":""commercial_conflict"",""source_field"":""profile.biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/ayuma.style/""}]",Собственный бренд женской одежды создаёт прямой коммерческий конфликт для бартерной кампании LD Latte.
instagram,miss_sunrise9,https://www.instagram.com/miss_sunrise9/,miss_sunrise9,commercial_conflict_clothing_showroom,"[""commercial_conflict_clothing_showroom""]","[""ru_stylist_moscow_06""]",apify,@peperoncino_shop_italy_,,reject,"[{""evidence_text"":""Владелица шоурума итальянской одежды в Москве @peperoncino_shop_italy_"",""observation_type"":""direct"",""signal_type"":""commercial_conflict"",""source_field"":""profile.biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/miss_sunrise9/""}]",Владение шоурумом женской одежды создаёт прямой коммерческий конфликт для бартерной кампании LD Latte.
instagram,stylistelenaialena,https://www.instagram.com/stylistelenaialena/,stylistelenaialena,professional_portfolio_not_influencer_creator,"[""professional_portfolio_not_influencer_creator""]","[""ru_stylist_moscow_06""]",apify,,,reject,"[{""evidence_text"":""Стилист. Художник по костюму"",""observation_type"":""direct"",""signal_type"":""professional_specialization"",""source_field"":""profile.full_name"",""source_reference"":""profile"",""url"":""https://www.instagram.com/stylistelenaialena/""},{""evidence_text"":""Создаю образы для fashion-съёмок, рекламы, кино, частных клиентов."",""observation_type"":""direct"",""signal_type"":""portfolio_commercial_shoots"",""source_field"":""profile.biography"",""source_reference"":""profile"",""url"":""https://www.instagram.com/stylistelenaialena/""},{""evidence_text"":""Our current collection, available exclusively upon request\n\nFashion @agnes.co.il \nStylist @stylistelenaialena \nPhotography @stylistelenaialena \nModel @oliaskliarenko"",""observation_type"":""direct"",""signal_type"":""portfolio_commercial_shoots"",""source_field"":""profile.recent_posts.caption"",""source_reference"":""3856209769979766589"",""url"":""https://www.instagram.com/p/DWEAlrPCOc9/""},{""evidence_text"":""Observed 2 short-video posts out of 12 sampled posts (share 0.166667)."",""observation_type"":""derived"",""signal_type"":""regular_short_video_content"",""source_field"":""candidate.metrics.short_video_share"",""source_reference"":""stylistelenaialena"",""url"":""https://www.instagram.com/stylistelenaialena/""},{""evidence_text"":""Observed 2 posts with known post format and 10 with unknown post format out of 12 sampled posts."",""observation_type"":""derived"",""signal_type"":""influencer_format_gap"",""source_field"":""candidate.metrics.post_format_distribution"",""source_reference"":""stylistelenaialena"",""url"":""https://www.instagram.com/stylistelenaialena/""}]",professional_portfolio_not_influencer_creator
